Site: manager.naf.ufscar.br | Amount instances: 6 of 20 (30 %) | Date: 14:52:51-06/01/17 | Timestamp: 1496339571
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:53:01-06/01/17 | Timestamp: 1496339581
Site: manager.naf.ufscar.br | Amount instances: 6 of 20 (30 %) | Date: 14:53:02-06/01/17 | Timestamp: 1496339582
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:53:13-06/01/17 | Timestamp: 1496339593
Site: manager.naf.ufscar.br | Amount instances: 6 of 20 (30 %) | Date: 14:53:13-06/01/17 | Timestamp: 1496339593
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:53:24-06/01/17 | Timestamp: 1496339604
Site: manager.naf.ufscar.br | Amount instances: 6 of 20 (30 %) | Date: 14:53:26-06/01/17 | Timestamp: 1496339606
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:53:36-06/01/17 | Timestamp: 1496339616
Site: manager.naf.ufscar.br | Amount instances: 6 of 20 (30 %) | Date: 14:53:37-06/01/17 | Timestamp: 1496339617
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:53:47-06/01/17 | Timestamp: 1496339627
Site: manager.naf.ufscar.br | Amount instances: 6 of 20 (30 %) | Date: 14:53:48-06/01/17 | Timestamp: 1496339628
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:53:59-06/01/17 | Timestamp: 1496339639
Site: manager.naf.ufscar.br | Amount instances: 6 of 20 (30 %) | Date: 14:53:59-06/01/17 | Timestamp: 1496339639
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:54:10-06/01/17 | Timestamp: 1496339650
Site: manager.naf.ufscar.br | Amount instances: 6 of 20 (30 %) | Date: 14:54:10-06/01/17 | Timestamp: 1496339650
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:54:21-06/01/17 | Timestamp: 1496339661
Site: manager.naf.ufscar.br | Amount instances: 6 of 20 (30 %) | Date: 14:54:22-06/01/17 | Timestamp: 1496339662
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:54:32-06/01/17 | Timestamp: 1496339672
Site: manager.naf.ufscar.br | Amount instances: 6 of 20 (30 %) | Date: 14:54:33-06/01/17 | Timestamp: 1496339673
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:54:43-06/01/17 | Timestamp: 1496339683
Site: manager.naf.ufscar.br | Amount instances: 6 of 20 (30 %) | Date: 14:54:44-06/01/17 | Timestamp: 1496339684
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:54:55-06/01/17 | Timestamp: 1496339695
Site: manager.naf.ufscar.br | Amount instances: 6 of 20 (30 %) | Date: 14:54:55-06/01/17 | Timestamp: 1496339695
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:55:06-06/01/17 | Timestamp: 1496339706
Site: manager.naf.ufscar.br | Amount instances: 6 of 20 (30 %) | Date: 14:55:07-06/01/17 | Timestamp: 1496339707
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:55:17-06/01/17 | Timestamp: 1496339717
Site: manager.naf.ufscar.br | Amount instances: 6 of 20 (30 %) | Date: 14:55:18-06/01/17 | Timestamp: 1496339718
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:55:28-06/01/17 | Timestamp: 1496339728
Site: manager.naf.ufscar.br | Amount instances: 6 of 20 (30 %) | Date: 14:55:29-06/01/17 | Timestamp: 1496339729
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:55:39-06/01/17 | Timestamp: 1496339739
Site: manager.naf.ufscar.br | Amount instances: 6 of 20 (30 %) | Date: 14:55:40-06/01/17 | Timestamp: 1496339740
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:55:51-06/01/17 | Timestamp: 1496339751
Site: manager.naf.ufscar.br | Amount instances: 6 of 20 (30 %) | Date: 14:55:51-06/01/17 | Timestamp: 1496339751
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:56:02-06/01/17 | Timestamp: 1496339762
Site: manager.naf.ufscar.br | Amount instances: 6 of 20 (30 %) | Date: 14:56:02-06/01/17 | Timestamp: 1496339762
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 6 of 20 (30 %) | Date: 14:56:13-06/01/17 | Timestamp: 1496339773
